iso_time,pid,cpu_percent,rss_kb,vsz_kb,threads,open_fds
2026-08-13T08:12:10+07:00,52227,85.5,160860,1407748,11,1023
2026-08-13T08:12:12+07:00,52227,81.0,160964,1407748,11,1023
2026-08-13T08:12:14+07:00,52227,84.5,160964,1407748,11,1023
2026-08-13T08:12:16+07:00,52227,81.5,160996,1407748,11,1023
2026-08-13T08:12:18+07:00,52227,81.5,160996,1407748,11,1023
2026-08-13T08:12:20+07:00,52227,79.0,160996,1407748,11,1023
2026-08-13T08:12:22+07:00,52227,81.5,160996,1407748,11,1023
2026-08-13T08:12:24+07:00,52227,80.5,160996,1407748,11,1023
2026-08-13T08:12:26+07:00,52227,82.0,161000,1407748,11,1023
2026-08-13T08:12:28+07:00,52227,90.5,161000,1407748,11,1023
2026-08-13T08:12:30+07:00,52227,86.5,161000,1407748,11,1023
2026-08-13T08:12:32+07:00,52227,85.0,161000,1407748,11,1023
2026-08-13T08:12:34+07:00,52227,89.0,161000,1407748,11,1023
2026-08-13T08:12:36+07:00,52227,99.5,161064,1407748,11,1024
2026-08-13T08:12:38+07:00,52227,90.0,161064,1407748,11,1023
2026-08-13T08:12:40+07:00,52227,101.5,161064,1407748,11,1023
2026-08-13T08:12:42+07:00,52227,107.0,161212,1407748,11,1023
2026-08-13T08:12:44+07:00,52227,93.0,161212,1407748,11,1023
2026-08-13T08:12:46+07:00,52227,81.5,161212,1407748,11,1023
2026-08-13T08:12:48+07:00,52227,87.0,161212,1407748,11,1023
2026-08-13T08:12:50+07:00,52227,92.5,161212,1407748,11,1023
2026-08-13T08:12:52+07:00,52227,103.0,161724,1408260,11,1023
2026-08-13T08:12:54+07:00,52227,103.5,161724,1408260,11,1023
2026-08-13T08:12:56+07:00,52227,103.0,161724,1408260,11,1023
2026-08-13T08:12:58+07:00,52227,106.5,161820,1408260,11,1024
2026-08-13T08:13:00+07:00,52227,101.0,161820,1408260,11,1023
2026-08-13T08:13:02+07:00,52227,100.0,161820,1408260,11,1023
2026-08-13T08:13:04+07:00,52227,102.0,162416,1408260,11,1023
2026-08-13T08:13:06+07:00,52227,104.5,162416,1408260,11,1023
2026-08-13T08:13:08+07:00,52227,101.0,162672,1408516,11,1023
2026-08-13T08:13:10+07:00,52227,101.0,163616,1410052,11,1023
2026-08-13T08:13:12+07:00,52227,103.0,163636,1410052,11,1023
2026-08-13T08:13:14+07:00,52227,100.5,163764,1410052,11,1023
2026-08-13T08:13:16+07:00,52227,103.5,163764,1410052,11,1023
2026-08-13T08:13:19+07:00,52227,99.5,163764,1410052,11,1023
2026-08-13T08:13:21+07:00,52227,104.0,163764,1410052,11,1024
2026-08-13T08:13:23+07:00,52227,102.5,163764,1410052,11,1023
2026-08-13T08:13:25+07:00,52227,87.5,163764,1410052,11,1023
2026-08-13T08:13:27+07:00,52227,85.5,163764,1410052,11,1023
2026-08-13T08:13:29+07:00,52227,84.0,163764,1410052,11,1023
2026-08-13T08:13:31+07:00,52227,89.5,163764,1410052,11,1023
2026-08-13T08:13:33+07:00,52227,84.0,163764,1410052,11,1023
2026-08-13T08:13:35+07:00,52227,86.0,163764,1410052,11,1023
2026-08-13T08:13:37+07:00,52227,85.0,163768,1410052,11,1023
2026-08-13T08:13:39+07:00,52227,82.5,163768,1410052,11,1023
2026-08-13T08:13:41+07:00,52227,84.0,163768,1410052,11,1023
